,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
41,87.0,6.0,5.4,31.0,87.0,26.76,29.04,1.42,20.16,86.18,100.46,5.18,2.54,937849.9366088673,0.004912867333218232
42,66.0,6.0,4.5,38.0,66.0,26.64,28.88,10.11,20.24,87.21,100.61,5.06,3.83,937934.3456353822,0.004912867333218232
43,39.0,6.0,4.5,20.0,39.0,26.28,27.96,18.43,19.66,87.64,100.62,6.37,3.62,938103.186480217,0.004912867333218232
44,57.0,7.0,4.5,34.0,44.0,26.58,30.82,1.3,17.99,74.38,100.48,4.35,1.55,934928.4485200421,0.004912867333218232
45,88.0,7.0,4.5,53.0,70.0,26.35,29.28,15.21,19.22,82.51,100.67,5.1,0.82,937512.3764595375,0.004912867333218232
46,73.0,7.0,24.6,37.0,73.0,25.53,27.96,16.55,18.76,85.03,100.38,5.74,0.27,940949.9070383827,0.004912867333218232
47,43.0,7.0,15.4,19.0,43.0,24.95,27.27,0.28,17.64,83.03,100.59,3.93,2.59,942673.3960275081,0.004912867333218232
48,78.0,7.0,13.7,31.0,78.0,25.69,28.32,6.85,19.14,85.71,100.49,6.37,3.91,938638.049695138,0.004912867333218232
49,60.0,7.0,18.2,36.0,54.0,26.18,27.91,20.99,20.31,90.9,100.52,6.02,2.94,938694.3688228941,0.004912867333218232
50,66.0,7.0,10.8,29.0,66.0,25.92,28.73,1.21,19.6,86.76,100.56,6.01,2.95,938835.1814267203,0.004912867333218232
51,47.0,7.0,11.9,25.0,47.0,25.89,28.61,2.93,20.13,89.67,100.49,5.73,1.56,938891.5123825574,0.004912867333218232
52,51.0,7.0,8.5,30.0,51.0,26.03,28.2,15.07,20.11,90.09,100.67,6.63,0.23,938947.846718303,0.004912867333218232
53,43.0,8.0,11.1,26.0,42.0,24.97,30.28,0.0,15.63,69.56,100.59,4.87,0.26,933331.110945867,0.004912867333218232
54,28.0,8.0,12.7,17.0,23.0,26.91,30.88,4.33,18.4,75.34,100.46,4.27,0.38,934956.4963734978,0.004912867333218232
