,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cluster
22,102.190476190476,3.02857142857142,13.9285714285714,53.2857142857142,93.0,0.08,13.2,54.38,100.88,32.03,25.3,0.5,3.49,933807.2240693156,14.583333333333334,2.0
23,112.285714285714,2.94285714285714,14.2428571428571,56.9285714285714,98.5,0.43,14.9,59.88,100.87,31.63,26.24,1.13,3.63,933835.2382860376,14.583333333333334,2.0
24,122.380952380952,2.85714285714285,14.5571428571428,60.5714285714285,104.0,7.57,16.39,67.19,100.81,31.64,26.07,0.65,3.18,933863.253343186,14.583333333333334,2.0
25,132.47619047619,2.77142857142857,14.8714285714285,64.2142857142857,109.5,8.79,16.88,70.25,100.76,31.71,25.9,0.4,2.9,933891.2692407864,14.583333333333334,2.0
26,142.571428571428,2.68571428571428,15.1857142857142,67.8571428571428,115.0,1.12,16.43,66.97,100.79,32.67,25.34,0.07,3.84,933919.2859788636,14.583333333333334,2.0
27,152.666666666666,2.6,15.5,71.5,120.5,0.25,16.79,68.58,100.84,32.2,25.96,0.3,5.09,933947.303557443,14.583333333333334,2.0
28,162.761904761904,2.51428571428571,15.8142857142857,75.1428571428571,126.0,0.07,16.39,68.04,100.8,32.09,25.82,0.22,5.24,933975.3219765498,14.583333333333334,2.0
29,172.857142857142,2.42857142857142,16.1285714285714,78.7857142857142,131.5,0.0,15.76,66.26,100.87,31.81,25.52,0.25,4.31,934003.3412362091,14.583333333333334,2.0
30,182.95238095238,2.34285714285714,16.4428571428571,82.4285714285714,137.0,0.0,13.17,55.21,100.98,32.33,24.95,0.06,4.07,934031.3613364464,14.583333333333334,2.0
31,193.047619047619,2.25714285714285,16.7571428571428,86.0714285714285,142.5,0.0,13.31,55.58,100.96,32.39,24.64,0.11,3.88,934059.3822772864,14.583333333333334,2.0
32,203.142857142857,2.17142857142857,17.0714285714285,89.7142857142857,148.0,0.0,14.03,57.27,100.88,32.45,25.91,0.18,4.91,934087.4040587548,14.583333333333334,2.0
33,213.238095238095,2.08571428571428,17.3857142857142,93.3571428571428,153.5,0.0,13.73,58.19,100.87,32.11,24.87,2.04,6.66,934115.4266808764,14.583333333333334,2.0
34,223.333333333333,2.0,17.7,97.0,159.0,0.53,16.12,70.9,100.92,29.93,25.61,1.51,4.87,934143.4501436768,14.583333333333334,2.0
35,262.435897435897,2.0,16.95,109.5,188.0,0.58,16.03,68.73,100.87,30.84,25.7,0.22,5.24,934171.4744471812,14.583333333333334,2.0
36,301.538461538461,2.0,16.2,122.0,217.0,0.08,15.74,65.52,100.9,31.74,26.03,0.16,5.51,934199.4995914144,14.583333333333334,2.0
37,277.985347985347,2.0,18.3142857142857,114.714285714285,204.428571428571,0.09,15.2,63.51,100.82,32.1,25.57,0.19,4.89,934227.5255764024,14.583333333333334,2.0
38,254.432234432234,2.0,20.4285714285714,107.428571428571,191.857142857142,0.08,15.53,65.93,100.77,31.37,25.58,1.44,5.02,934255.5524021696,14.583333333333334,2.0
39,230.87912087912,2.0,22.5428571428571,100.142857142857,179.285714285714,0.06,15.87,67.12,100.82,31.58,25.55,0.45,4.97,934283.5800687416,14.583333333333334,2.0
40,207.326007326007,2.0,24.6571428571428,92.8571428571428,166.714285714285,0.03,13.56,54.74,100.91,33.06,25.76,0.27,3.3,934311.6085761436,14.583333333333334,2.0
41,183.772893772893,2.0,26.7714285714285,85.5714285714285,154.142857142857,0.01,11.54,46.79,100.94,33.64,24.04,0.56,4.73,934339.6379244012,14.583333333333334,2.0
42,160.21978021978,2.0,28.8857142857142,78.2857142857142,141.571428571428,0.18,14.65,56.63,100.99,34.07,25.48,0.62,4.93,934367.6681135388,14.583333333333334,2.0
43,136.666666666666,2.0,31.0,71.0,129.0,0.0,13.15,49.13,101.01,34.73,26.03,0.1,4.56,934395.6991435824,14.583333333333334,2.0
44,146.190476190476,2.0,27.3857142857142,73.8571428571428,134.571428571428,0.0,11.8,45.85,100.87,34.12,25.31,0.15,5.98,934423.7310145564,14.583333333333334,2.0
45,155.714285714285,2.0,23.7714285714285,76.7142857142857,140.142857142857,0.0,9.98,41.18,100.8,33.3,23.48,0.73,5.46,934451.7637264872,14.583333333333334,2.0
46,165.238095238095,2.0,20.1571428571428,79.5714285714285,145.714285714285,0.0,10.48,43.36,100.97,33.35,23.33,1.58,4.4,934479.7972793988,14.583333333333334,2.0
47,174.761904761904,2.0,16.5428571428571,82.4285714285714,151.285714285714,0.0,12.11,50.83,100.97,31.67,24.99,0.44,4.39,934507.8316733174,14.583333333333334,2.0
